JOBCODE,SERVDATE,MCCODE,SERVCODE,ATDATE,PDATE,REMARK,WorkDone,jobstatus
9403,08/07/2010,117,17,10/07/2010,24/05/2010, ,F,F
9405,09/07/2010,96,17,12/07/2010,25/05/2010, ,F,F
9404,09/07/2010,8,7,16/07/2010,09/01/2010, ,FINISH,F
9407,13/07/2010,8,71,16/07/2010,28/06/2010, ,F,F
9410,10/07/2010,10,7,03/07/2010,10/01/2010, ,F,F
9408,10/07/2010,8,17,16/07/2010,26/05/2010, ,F,F
9411,10/07/2010,95,71,12/07/2010,28/06/2010, ,F,F
9406,12/07/2010,7,71,15/07/2010,28/06/2010, ,F,F
9409,10/07/2010,9,7,17/07/2010,10/01/2010, ,F,F
9417,11/07/2010,94,71,14/07/2010,29/06/2010, ,F,F
9412,11/07/2010,9,17,17/07/2010,27/05/2010, ,F,F
9413,13/07/2010,9,71,17/07/2010,29/06/2010, ,F,F
9460,26/07/2010,12,71,19/07/2010,13/07/2010, ,F,F
9463,02/08/2010,16,71,21/07/2010,14/07/2010, ,F,F
9462,01/08/2010,15,71,20/07/2010,14/07/2010, ,F,F
9464,28/09/2010,17,71,21/07/2010,14/07/2010, ,F,F
9467,04/08/2010,18,71,23/07/2010,15/07/2010, ,F,F
9466,01/08/2010,14,71,20/07/2010,15/07/2010, ,FINISH,F
9472,05/08/2010,124,71,24/07/2010,16/07/2010, ,F,F
9469,05/08/2010,82,71,24/07/2010,16/07/2010, ,F,F
9476,07/08/2010,93,71,25/07/2010,17/07/2010, ,F,F
9475,06/08/2010,85,71,25/07/2010,17/07/2010, ,F,F
9474,06/08/2010,84,71,25/07/2010,17/07/2010, ,F,F
9473,06/08/2010,83,71,25/07/2010,17/07/2010, ,F,F
9479,09/08/2010,118,71,29/07/2010,18/07/2010, ,F,F
9478,01/08/2010,117,71,28/07/2010,18/07/2010, ,F,F
9481,22/07/2010,112,71,30/07/2010,19/07/2010, ,FINISH,F
9415,11/07/2010,11,8,18/07/2010,11/01/2010, ,F,F
9416,11/07/2010,11,17,18/07/2010,27/05/2010, ,F,F
9414,11/07/2010,10,17,18/07/2010,27/05/2010, ,F,F
9419,14/07/2010,11,71,18/07/2010,30/06/2010, ,F,F
9421,12/07/2010,13,17,19/07/2010,28/05/2010, ,F,F
9418,15/07/2010,10,71,18/07/2010,30/06/2010, ,F,F
9420,12/07/2010,12,17,19/07/2010,28/05/2010, ,F,F
9425,13/07/2010,14,17,20/07/2010,29/05/2010, ,F,F
9424,15/07/2010,13,71,19/07/2010,01/07/2010, ,F,F
9423,14/07/2010,12,71,19/07/2010,01/07/2010, ,F,F
9422,13/07/2010,8,6,16/07/2010,13/04/2010, ,F,F
9429,16/09/2010,17,71,21/07/2010,02/07/2010, ,F,F
9428,17/07/2010,16,71,21/07/2010,02/07/2010, ,F,F
9426,14/07/2010,7,9,,14/10/2009,,,P
9427,17/07/2010,15,71,20/07/2010,02/07/2010, ,F,F
9430,15/07/2010,12,9,19/07/2010,15/10/2009, ,FINISH,F
9431,16/07/2010,14,71,20/07/2010,03/07/2010, ,F,F
9432,18/07/2010,18,71,23/07/2010,03/07/2010, ,F,F
9434,16/07/2010,124,8,24/07/2010,16/01/2010, ,F,F
9436,16/07/2010,124,7,24/07/2010,16/01/2010, ,FINISH,F
9437,17/07/2010,18,7,06/07/2010,17/01/2010, ,F,F
9444,19/07/2010,13,7,03/07/2010,19/01/2010, ,F,F
10676,25/10/2010,47,111,,05/09/2010,,,P
10674,20/10/2010,46,94,,05/09/2010,,,P
10675,25/10/2010,47,94,,05/09/2010,,,P
10696,20/10/2010,38,21,,06/09/2010,,,P
10691,14/10/2010,111,94,,06/09/2010,,,P
10690,14/10/2010,111,160,,06/09/2010,,,P
10703,14/10/2010,63,131,,06/09/2010,,,P
10728,07/10/2010,60,131,,08/09/2010,,,P
10712,24/10/2010,51,111,,08/09/2010,,,P
10714,08/10/2010,100,160,,08/09/2010,,,P
10733,25/10/2010,39,21,,09/09/2010,,,P
10737,24/10/2010,51,94,,10/09/2010,,,P
10749,10/10/2010,55,80,,10/09/2010,,,P
10752,11/10/2010,58,131,,10/09/2010,,,P
10759,08/10/2010,100,94,,12/09/2010,,,P
10769,13/10/2010,56,80,,12/09/2010,,,P
10794,01/10/2010,126,160,,14/09/2010,,,P
10792,01/10/2010,126,94,,14/09/2010,,,P
10805,16/10/2010,57,80,,14/09/2010,,,P
10813,25/10/2010,80,21,,15/09/2010,,,P
10832,16/10/2010,101,160,,17/09/2010,,,P
10835,16/10/2010,101,94,,17/09/2010,,,P
10849,27/10/2010,40,111,,18/09/2010,,,P
10870,27/10/2010,81,21,,19/09/2010,,,P
10871,23/10/2010,79,80,,19/09/2010,,,P
10872,09/10/2010,59,131,,19/09/2010,,,P
9738,24/05/2010,45,121,28/08/2010,24/08/2009, ,FINISH,F
9739,26/05/2010,43,121,26/08/2010,26/08/2009, ,FINISH,F
9740,28/05/2010,41,121,30/08/2010,28/08/2009, ,FINISH,F
9741,29/05/2010,48,121,,29/08/2009,,,P
9742,29/05/2010,52,121,23/08/2010,29/08/2009, ,FINISH,F
9743,04/07/2010,74,37,,19/06/2010,,,P
9745,08/08/2010,13,71,08/08/2010,01/07/2010, ,FINISH,F
9744,07/08/2010,12,71,08/08/2010,01/07/2010, ,F,F
9746,20/08/2010,97,165,20/08/2010,01/07/2010, ,FINISH,F
9749,24/07/2010,96,71,31/07/2010,12/07/2010, ,FINISH,F
9748,24/07/2010,95,71,04/08/2010,12/07/2010, ,FINISH,F
9752,26/07/2010,94,71,05/08/2010,14/07/2010, ,FINISH,F
9753,26/07/2010,24,75,03/08/2010,14/07/2010, ,FINISH,F
9754,27/07/2010,7,71,05/08/2010,15/07/2010, ,FINISH,F
9756,28/07/2010,20,74,03/08/2010,16/07/2010, ,FINISH,F
9755,28/07/2010,8,71,06/08/2010,16/07/2010, ,FINISH,F
9757,29/07/2010,9,71,06/08/2010,17/07/2010, ,FINISH,F
9758,29/07/2010,21,74,07/08/2010,17/07/2010, ,FINISH,F
9760,30/07/2010,11,71,08/08/2010,18/07/2010, ,FINISH,F
9759,08/08/2010,10,71,07/08/2010,18/07/2010, ,FINISH,F
9763,31/07/2010,25,75,04/08/2010,19/07/2010, ,FINISH,F
9762,31/07/2010,32,73,04/08/2010,16/07/2010, ,FINISH,F
9767,01/08/2010,99,117,02/06/2010,01/12/2009, ,FINISH,F
9770,01/08/2010,32,34,04/08/2010,01/02/2010, ,FINISH,F
9764,01/08/2010,91,161,03/08/2010,01/05/2010, ,FINISH,F
9768,05/08/2010,3,78,05/08/2010,17/07/2010, ,FINISH,F
9766,01/08/2010,91,94,03/08/2010,01/07/2010, ,FINISH,F
9771,01/08/2010,53,80,04/08/2010,02/07/2010, ,FINISH,F
9769,01/08/2010,15,71,12/08/2010,20/07/2010, ,FINISH,F
9772,01/08/2010,26,108,04/08/2010,01/08/2009, ,FINISH,F
9765,01/08/2010,91,160,03/08/2010,01/07/2010, ,FINISH,F
9781,02/08/2010,26,106,04/08/2010,02/04/2010, ,FINISH,F
9774,02/08/2010,16,71,14/08/2010,21/07/2010, ,FINISH,F
9776,02/08/2010,31,34,12/08/2010,02/02/2010, ,FINISH,F
